Q/A,QA,Category_1
answer,Not as I sit here.,n
question,"If I refresh your recollection, would you agree that he was the president of The Tobacco Institute in the, in 1958 and other years too but at least during .-1958?",bin-d
answer,"I just, I just don't remember the name. Did the president .of The. Tobacco Institute ever publicly criticize the Feeder's Digest saying that its articles about cigarettes were unfair to cigarette manufacturers?",confront
question,Okay.,ack
answer,"But.I'm happy to look at.stuff and, and comment. on. it> but I mean, I just don't, I don't have it: My mind doesn't work that way.",sno
question,"Okay. Some folks can do that; some can't. Let me ask the reporter,to show you Plaintiff 1s Exhibit '",sno
answer,I know the science pretty good. I can comment on science..,sno
question,"Have you; had. a, chance to look at it?",bin
answer,"I'm sorfy. I've looked at it, yes.",y
question,". Does that refresh your recollection as to who James Richards, was?",bin
answer,No. But I. can read it ..in here. It's in the.. . first line.,n-d
question,"Okay. The Tobacco Institute., it says in the first column here about paragraph four, I'm sorry, paragraph two. ""The cigarette, the cigarette industry has not changed its mind. Our position was and Is based on the fact that scientific evidence does hot support the theory that there is anything..in cigarette smoke known to cause human lung cancer."" The quote, ""The implications of this piece,"" unquote Mr. Richards said are quote ""most unfair to the.tobacco industry and to the general public."" Do you agree assuming that Mr. Richards was the president of the Tobacco Industry-that he is calling the Reader's Digest article Unfair to the .industry and the public?",bin-d
question,"Would you answer the question, Dr. Figlar?",bin
answer,"I would say that's what, that's what you just read that came from this, article.",sno
question,"That did reflect the, the view of Reynolds Tobacco Company at the time, did it not? MR, LATHAM: Objection to the question.",bin-d
answer,"I don't know whether of not R... J1. Reynolds felt . that a Reader's Digest article was unfair or not. But their -- their, their opinion and their position with regard to.the scientific evidence hot supporting the theory that between a cause and effect relationship between cigarette smoking and lung cancer would be pretty consistent. Okay... . ' At that time. Okay. Who was Clarence Cook Little? I think-- I get confused with softie of the. names. It's a name I recall;. Either it was the first person to be in charge of the TIRC or maybe in charge of BAT or I can't remember now.",dno
question,. Let me represent to you that- he was the. scientific director of the Tobacco Institute Research Committee.,sno
answer,Okay.,ack
question,". And speaking on behalf of all of its members, do you agree that the industry felt that it was scientifically unwise, in fact, possibly harmful to attribute a definitive causal role to.cigarette smoking and diseases like lung cancer?",bin-d
question,You Can answer the guestion.,sno
answer,"The ,.-- I'm finding it -- can you repeat the question? Can you just read back the question, please? So I can refresh it in my head.",confront
question,"So as I understand your, your answer, you, you agree that the TIRC was saying that science didn't know enough yet to make a judgment and you're, you're buttressing that by saying the American Cancer Society spokesperson you identified actually felt the same Way, that it could be harmful to do that so that we didn't know enough to tell people don't smoke because it's going to be that's the cause of cancer?",bin-d
